FID,LAYER,X,Y,Z
"445",cam,34904.074,167123.333,555.163
"446",cam,34906.925,167120.096,555.296
"447",cam,34909.762,167117.045,555.460
"448",cam,34912.533,167113.795,555.786
"449",cam,34917.622,167107.574,556.193
"450",cam,34921.259,167102.858,556.441
"451",cam,34925.816,167097.249,556.853
"452",cam,34929.156,167093.101,557.163
"453",cam,34931.936,167089.489,557.433
"454",cam,34936.749,167083.217,557.888
"455",cam,34941.372,167077.155,558.261
"456",cam,34941.493,167075.839,558.356
"457",cam,34940.155,167075.128,558.531
"458",cam,34935.923,167073.655,558.132
"459",cam,34930.962,167072.267,557.346
"460",cam,34931.521,167070.134,557.532
"461",cam,34936.278,167071.302,558.146
"462",cam,34940.155,167071.133,558.538
"463",cam,34942.898,167069.795,558.632
"464",cam,34944.710,167069.016,558.641
"465",cam,34947.740,167067.323,558.735
"466",cam,34951.668,167066.240,558.979
"467",cam,34954.597,167063.734,559.168
"468",cam,34957.679,167061.584,559.402
"469",cam,34963.283,167058.011,559.852
"470",cam,34969.750,167054.202,560.445
"471",cam,34976.709,167049.969,560.894
"472",cam,34984.598,167045.517,561.380
"473",cam,34991.879,167041.809,561.661
"474",cam,34998.752,167038.118,561.851
"475",cam,35006.119,167034.040,561.895
"476",cam,35009.143,167032.041,561.830
"477",cam,35009.889,167030.203,561.653
"478",cam,35009.649,167028.391,561.469
"479",cam,35009.342,167027.512,561.418
"480",cam,35008.197,167026.020,561.342
"481",cam,35007.011,167024.461,561.265
"482",cam,35005.892,167023.023,561.148
"483",cam,35007.344,167022.183,561.179
"484",cam,35010.448,167025.274,561.455
"485",cam,35012.073,167026.979,561.628
"486",cam,35013.405,167028.231,561.690
"487",cam,35014.484,167029.004,561.713
"488",cam,35016.349,167028.271,561.704
"489",cam,35020.399,167026.220,561.696
"490",cam,35024.462,167023.982,561.714
"491",cam,35027.593,167022.583,561.573
"492",cam,35031.389,167020.731,561.424
"493",cam,35034.147,167019.346,561.354
"494",cam,35037.517,167017.414,561.314
"495",cam,35041.260,167015.523,561.214
"496",cam,35044.924,167013.498,561.107
"497",cam,35048.654,167011.606,560.857
"498",cam,35053.116,167009.195,560.655
"499",cam,35057.566,167007.330,560.371
"500",cam,35062.228,167005.798,560.131
"501",cam,35066.837,167004.293,559.956
"502",cam,35071.287,167002.428,559.790
"503",cam,35076.416,167000.443,559.697
"504",cam,35083.915,166997.619,559.151
"505",cam,35087.859,166996.287,558.889
"506",cam,35094.626,166994.009,558.312
"507",cam,35101.833,166991.971,557.619
"508",cam,35107.987,166990.132,557.018
"509",cam,35113.169,166988.107,556.488
"510",cam,35116.686,166986.722,556.094
"511",cam,35119.537,166984.564,555.867
"512",cam,35120.083,166983.538,555.890
"513",cam,35120.336,166981.540,555.871
"514",cam,35120.030,166979.502,555.694
"515",cam,35119.697,166978.156,555.496
"516",cam,35121.522,166977.464,555.424
"517",cam,35122.188,166979.035,555.583
"518",cam,35122.721,166980.647,555.693
"519",cam,35123.067,166982.113,555.603
"520",cam,35125.292,166980.434,555.377
"521",cam,35127.450,166978.942,555.196
"522",cam,35130.315,166977.081,555.033
"523",cam,35133.672,166975.163,554.900
"524",cam,35137.402,166973.004,554.757
"525",cam,35141.891,166970.553,554.624
"526",cam,35145.634,166968.435,554.560
"527",cam,35149.764,166965.957,554.591
"528",cam,35154.027,166963.653,554.432
"529",cam,35156.824,166961.122,554.478
"530",pc,34849.383,167284.536,556.596
"531",cam,34842.549,167300.150,555.190
"532",cam,34842.686,167296.650,555.794
"533",cam,34842.959,167291.207,556.006
"534",cam,34843.397,167286.093,556.154
"535",cam,34843.998,167281.089,556.343
"536",cam,34844.354,167276.166,556.548
"537",cam,34844.682,167270.833,556.770
"538",cam,34845.366,167266.512,556.932
"539",cam,34846.296,167261.289,557.150
